@ Pointer Table mapping: cid → label_cid (4 digits each)
@ Each cid in [0, 2097] maps to a label_cid that has actual data.
@ When cid != label_cid, this is alt-art / shared description.
@ Format: "<cid> <label_cid> <comment>"

0000 0000  (dummy)
0001 0001  Blue-Eyes White Dragon
0002 0001  Blue-Eyes White Dragon (alt-art)
0003 0001  Blue-Eyes White Dragon (alt-art)
0004 0001  Blue-Eyes White Dragon (alt-art)
0005 0005  Mystical Elf
0006 0006  Hitotsu-Me Giant
0007 0007  Baby Dragon
0008 0008  Ryu-Kishin
0009 0009  Feral Imp
0010 0010  Winged Dragon, Guardian of the Fortress #1
0011 0011  Mushroom Man
0012 0012  Blackland Fire Dragon
0013 0013  Tyhone
0014 0014  Flame Swordsman
0015 0014  Flame Swordsman (alt-art)
0016 0016  Time Wizard
0017 0017  Right Leg of the Forbidden One
0018 0018  Left Leg of the Forbidden One
0019 0019  Right Arm of the Forbidden One
0020 0020  Left Arm of the Forbidden One
0021 0021  Exodia the Forbidden One
0022 0022  Summoned Skull
0023 0022  Summoned Skull (alt-art)
0024 0022  Summoned Skull (alt-art)
0025 0025  The Wicked Worm Beast
0026 0026  Skull Servant
0027 0027  Horn Imp
0028 0028  Battle Ox
0029 0029  Beaver Warrior
0030 0030  Rock Ogre Grotto #1
0031 0031  Mountain Warrior
0032 0032  Zombie Warrior
0033 0033  Koumori Dragon
0034 0034  Two-Headed King Rex
0035 0035  Judge Man
0036 0036  Saggi the Dark Clown
0037 0037  Dark Magician
0038 0037  Dark Magician (alt-art)
0039 0037  Dark Magician (alt-art)
0040 0040  The Snake Hair
0041 0041  Gaia the Dragon Champion
0042 0042  Gaia The Fierce Knight
0043 0042  Gaia The Fierce Knight (alt-art)
0044 0044  Curse of Dragon
0045 0045  Celtic Guardian
0046 0045  Celtic Guardian (alt-art)
0047 0047  Illusionist Faceless Mage
0048 0048  Karbonala Warrior
0049 0049  Rogue Doll
0050 0050  Oscillo Hero #2
0051 0051  Griffore
0052 0052  Torike
0053 0053  Sangan
0054 0054  Big Insect
0055 0055  Basic Insect
0056 0056  Armored Lizard
0057 0057  Killer Needle
0058 0058  Gokibore
0059 0059  Giant Flea
0060 0060  Larvae Moth
0061 0061  Great Moth
0062 0062  Kuriboh
0063 0062  Kuriboh (alt-art)
0064 0062  Kuriboh (alt-art)
0065 0065  Mammoth Graveyard
0066 0066  Great White
0067 0067  Wolf
0068 0068  Harpie Lady
0069 0069  Harpie Lady Sisters
0070 0070  Tiger Axe
0071 0070  Tiger Axe (alt-art)
0072 0072  Silver Fang
0073 0073  Kojikocy
0074 0074  Perfectly Ultimate Great Moth
0075 0075  Thousand Dragon
0076 0075  Thousand Dragon (alt-art)
0077 0077  Fiend Kraken
0078 0078  Jellyfish
0079 0079  Cocoon of Evolution
0080 0080  Giant Soldier of Stone
0081 0081  Man-Eating Plant
0082 0082  Krokodilus
0083 0083  Grappler
0084 0084  Axe Raider
0085 0085  Megazowler
0086 0086  Uraby
0087 0087  Crawling Dragon #2
0088 0088  Red-Eyes B. Dragon
0089 0088  Red-Eyes B. Dragon (alt-art)
0090 0088  Red-Eyes B. Dragon (alt-art)
0091 0088  Red-Eyes B. Dragon (alt-art)
0092 0092  Castle of Dark Illusions
