slot_addr,string_addr,label,is_new
0x08014744,0x09e398dc,gl_common_c_filename,1
0x08014748,0x09e398ec,assert_bright_16_bright_16,1
0x080147c4,0x09e398dc,gl_common_c_filename,1
0x080147c8,0x09e3990c,assert_blend1_0_blend1_16,1
0x080147cc,0x09e39928,assert_blend2_0_blend2_16,1
0x08014828,0x09e398dc,gl_common_c_filename,1
0x0801482c,0x09e398ec,assert_bright_16_bright_16,1
0x080148b8,0x09e398dc,gl_common_c_filename,1
0x080148c0,0x09e3990c,assert_blend1_0_blend1_16,1
0x080148c4,0x09e39928,assert_blend2_0_blend2_16,1
0x08014c4c,0x09e398dc,gl_common_c_filename,1
0x08014c50,0x09e39944,assert_u32_psrc_0x3_0,1
0x08014c88,0x09e398dc,gl_common_c_filename,1
0x08014c90,0x09e39944,assert_u32_psrc_0x3_0,1
0x08014ccc,0x09e398dc,gl_common_c_filename,1
0x08014cd0,0x09e39944,assert_u32_psrc_0x3_0,1
0x08014d08,0x09e398dc,gl_common_c_filename,1
0x08014d10,0x09e39944,assert_u32_psrc_0x3_0,1
0x08014d48,0x09e398dc,gl_common_c_filename,1
0x08014d50,0x09e39944,assert_u32_psrc_0x3_0,1
0x08014d8c,0x09e398dc,gl_common_c_filename,1
0x08014d90,0x09e39944,assert_u32_psrc_0x3_0,1
0x08014dc8,0x09e398dc,gl_common_c_filename,1
0x08014dd0,0x09e39944,assert_u32_psrc_0x3_0,1
0x08014e08,0x09e398dc,gl_common_c_filename,1
0x08014e10,0x09e39944,assert_u32_psrc_0x3_0,1
0x08014e4c,0x09e398dc,gl_common_c_filename,1
0x08014e50,0x09e39944,assert_u32_psrc_0x3_0,1
0x08014f30,0x09e3995c,gl_file_c_filename,1
0x08014f34,0x09e3996c,assert_psrc,1
0x08014f38,0x09e39974,assert_pkey,1
0x080150d8,0x09e3995c,gl_file_c_filename,1
0x080150dc,0x09e399b8,assert_phead_comptype_1,1
0x08015130,0x09e39c50,gl_oam_c_filename,1
0x08015134,0x09e39c5c,assert_num_32,1
0x08015444,0x09e39c68,gl_scrollbar_c_filename,1
0x08015448,0x09e39c7c,assert_pthis,1
0x080154c0,0x09e39c68,gl_scrollbar_c_filename,1
0x080154c4,0x09e39c7c,assert_pthis,1
0x080154e8,0x09e39c68,gl_scrollbar_c_filename,1
0x080154ec,0x09e39c7c,assert_pthis,1
0x0801553c,0x09e39c68,gl_scrollbar_c_filename,1
0x08015540,0x09e39c7c,assert_pthis,1
0x08015570,0x09e39c68,gl_scrollbar_c_filename,1
0x08015574,0x09e39c7c,assert_pthis,1
0x080155b8,0x09e39c68,gl_scrollbar_c_filename,1
0x080155bc,0x09e39c7c,assert_pthis,1
0x080155e0,0x09e39c68,gl_scrollbar_c_filename,1
0x080155e4,0x09e39c7c,assert_pthis,1
0x0801562c,0x09e39c68,gl_scrollbar_c_filename,1
0x08015630,0x09e39c7c,assert_pthis,1
0x08015668,0x09e3a488,ig2d_main_c_filename,1
0x0801566c,0x09e3a498,assert_usedncebuff_ig2d_load_anm_max,1
0x080156a0,0x09e3a488,ig2d_main_c_filename,1
0x080156a4,0x09e3a4b8,assert_usednanbuff_ig2d_load_anm_max,1
0x08015710,0x09e3a488,ig2d_main_c_filename,1
0x08015714,0x09e3a4d8,assert_psequence,1
0x08015914,0x09e3a488,ig2d_main_c_filename,1
0x08015918,0x09e3a4e4,assert_bg_2_bg_3,1
0x08015940,0x09e3a488,ig2d_main_c_filename,1
0x08015a78,0x09e3a488,ig2d_main_c_filename,1
0x08015a7c,0x09e3a4fc,assert_pcell_null,1
0x08015af4,0x09e3a488,ig2d_main_c_filename,1
0x08015afc,0x09e3a510,assert_usedcellanm_nelems_cellanmbank,1
0x08015b58,0x09e3a488,ig2d_main_c_filename,1
0x08015b5c,0x09e3a534,assert_ppcellbank_null,1
0x08015b64,0x09e3a54c,assert_pfname_null,1
0x08015bb8,0x09e3a488,ig2d_main_c_filename,1
0x08015bc0,0x09e3a560,assert_ppanimbank_null,1
0x08015bc4,0x09e3a54c,assert_pfname_null,1
0x08015c14,0x09e3a488,ig2d_main_c_filename,1
0x08015c1c,0x09e3a578,assert_ppchardata_null,1
0x08015c24,0x09e3a54c,assert_pfname_null,1
0x08015c74,0x09e3a488,ig2d_main_c_filename,1
0x08015c7c,0x09e3a590,assert_pppltdata_null,1
0x08015c84,0x09e3a54c,assert_pfname_null,1
0x08015cd0,0x09e3a488,ig2d_main_c_filename,1
0x08015cd8,0x09e3a5a8,assert_psrcdata,1
0x08015ce0,0x09e3a5b4,assert_ppltproxt,1
0x08015d0c,0x09e3a488,ig2d_main_c_filename,1
0x08015d14,0x09e3a5c0,assert_false,1
0x08015e74,0x09e3a488,ig2d_main_c_filename,1
0x08015e7c,0x09e3a5c8,assert_pbuf_null,1
0x08015e88,0x09e3a5dc,assert_ppanimbank_numsequences_0,1
0x08015e90,0x09e3a600,assert_ppcellanim_null,1
0x08015e98,0x09e3a618,assert_ppanimbank_psequencearrayhead,1
0x080160b0,0x09e3a64c,isd_draw_c_filename,1
0x080160ec,0x09e3a64c,isd_draw_c_filename,1
0x08016124,0x09e3a64c,isd_draw_c_filename,1
0x08016510,0x09e3a64c,isd_draw_c_filename,1
0x08016b4c,0x09e3a770,prh_main_c_filename,1
0x08016b50,0x09e3a780,assert_pdst_nameid,1
0x08017b24,0x09e3b2b8,name_main_c_filename,1
0x08017b2c,0x09e3b2d0,assert_cnt_name_mojitbl_width_1_name,1
0x08017fd8,0x09e3b2b8,name_main_c_filename,1
0x08017fdc,0x09e3b348,assert_dir_1_dir_1,1
0x080182b0,0x09e3b2b8,name_main_c_filename,1
0x080182b4,0x09e3b434,assert_anmid_ig2d_getanmsequencescoun,1
