slot_addr,slot_label,eol_text
0x08014744,gl_set_brightness_gl_common_c_filename,GL/GL_Common.c
0x08014748,gl_set_brightness_assert_bright_16_bright_16,bright >= -16 && bright <= 16
0x080147c4,init_blend_transition_params_gl_common_c_filename,GL/GL_Common.c
0x080147c8,init_blend_transition_params_assert_blend1_0_blend1_16,blend1 >= 0 && blend1 <= 16
0x080147cc,init_blend_transition_params_assert_blend2_0_blend2_16,blend2 >= 0 && blend2 <= 16
0x08014828,gl_set_blend2_level_gl_common_c_filename,GL/GL_Common.c
0x0801482c,gl_set_blend2_level_assert_bright_16_bright_16,bright >= -16 && bright <= 16
0x080148b8,init_blend_transition_params_ex_gl_common_c_filename,GL/GL_Common.c
0x080148c0,init_blend_transition_params_ex_assert_blend1_0_blend1_16,blend1 >= 0 && blend1 <= 16
0x080148c4,init_blend_transition_params_ex_assert_blend2_0_blend2_16,blend2 >= 0 && blend2 <= 16
0x08014c4c,copy_to_bg0_char_tiles_gl_common_c_filename,GL/GL_Common.c
0x08014c50,copy_to_bg0_char_tiles_assert_u32_psrc_0x3_0,((u32)pSrc & 0x3) == 0
0x08014c88,copy_to_bg1_char_tiles_gl_common_c_filename,GL/GL_Common.c
0x08014c90,copy_to_bg1_char_tiles_assert_u32_psrc_0x3_0,((u32)pSrc & 0x3) == 0
0x08014ccc,copy_to_bg2_char_tiles_gl_common_c_filename,GL/GL_Common.c
0x08014cd0,copy_to_bg2_char_tiles_assert_u32_psrc_0x3_0,((u32)pSrc & 0x3) == 0
0x08014d08,copy_to_bg3_char_tiles_gl_common_c_filename,GL/GL_Common.c
0x08014d10,copy_to_bg3_char_tiles_assert_u32_psrc_0x3_0,((u32)pSrc & 0x3) == 0
0x08014d48,copy_to_bg0_screen_map_gl_common_c_filename,GL/GL_Common.c
0x08014d50,copy_to_bg0_screen_map_assert_u32_psrc_0x3_0,((u32)pSrc & 0x3) == 0
0x08014d8c,copy_to_bg1_screen_map_gl_common_c_filename,GL/GL_Common.c
0x08014d90,copy_to_bg1_screen_map_assert_u32_psrc_0x3_0,((u32)pSrc & 0x3) == 0
0x08014dc8,copy_to_bg2_screen_map_gl_common_c_filename,GL/GL_Common.c
0x08014dd0,copy_to_bg2_screen_map_assert_u32_psrc_0x3_0,((u32)pSrc & 0x3) == 0
0x08014e08,copy_to_bg3_screen_map_gl_common_c_filename,GL/GL_Common.c
0x08014e10,copy_to_bg3_screen_map_assert_u32_psrc_0x3_0,((u32)pSrc & 0x3) == 0
0x08014e4c,copy_to_obj_tile_vram_gl_common_c_filename,GL/GL_Common.c
0x08014e50,copy_to_obj_tile_vram_assert_u32_psrc_0x3_0,((u32)pSrc & 0x3) == 0
0x08014f30,find_substr_offset_gl_file_c_filename,GL/GL_File.c
0x08014f34,find_substr_offset_assert_psrc,pSrc
0x08014f38,find_substr_offset_assert_pkey,pKey
0x080150d8,fs_load_gl_file_c_filename,GL/GL_File.c
0x080150dc,fs_load_assert_phead_comptype_1,pHead->compType == 1
0x08015130,get_gl_oam_entry_ptr_gl_oam_c_filename,GL/GL_Oam.c
0x08015134,get_gl_oam_entry_ptr_assert_num_32,num < 32
0x08015444,get_scrollbar_range_param_gl_scrollbar_c_filename,GL/GL_Scrollbar.c
0x08015448,get_scrollbar_range_param_assert_pthis,pThis
0x080154c0,get_scrollbar_cur_value_gl_scrollbar_c_filename,GL/GL_Scrollbar.c
0x080154c4,get_scrollbar_cur_value_assert_pthis,pThis
0x080154e8,set_scrollbar_cur_pos_gl_scrollbar_c_filename,GL/GL_Scrollbar.c
0x080154ec,set_scrollbar_cur_pos_assert_pthis,pThis
0x0801553c,advance_scrollbar_pos_one_gl_scrollbar_c_filename,GL/GL_Scrollbar.c
0x08015540,advance_scrollbar_pos_one_assert_pthis,pThis
0x08015570,retreat_scrollbar_pos_one_gl_scrollbar_c_filename,GL/GL_Scrollbar.c
0x08015574,retreat_scrollbar_pos_one_assert_pthis,pThis
0x080155b8,advance_scrollbar_pos_page_gl_scrollbar_c_filename,GL/GL_Scrollbar.c
0x080155bc,advance_scrollbar_pos_page_assert_pthis,pThis
0x080155e0,retreat_scrollbar_pos_page_gl_scrollbar_c_filename,GL/GL_Scrollbar.c
0x080155e4,retreat_scrollbar_pos_page_assert_pthis,pThis
0x0801562c,update_scrollbar_thumb_display_gl_scrollbar_c_filename,GL/GL_Scrollbar.c
0x08015630,update_scrollbar_thumb_display_assert_pthis,pThis
0x08015668,alloc_nce_buff_slot_ig2d_main_c_filename,GL/IG2D_Main.c
0x0801566c,alloc_nce_buff_slot_assert_usedncebuff_ig2d_load_anm_max,UsedNceBuff < IG2D_LOAD_ANM_MAX
0x080156a0,alloc_char_data_slot_ig2d_main_c_filename,GL/IG2D_Main.c
0x080156a4,alloc_char_data_slot_assert_usednanbuff_ig2d_load_anm_max,UsedNanBuff < IG2D_LOAD_ANM_MAX
0x08015710,get_anim_ctrl_seq_id_ig2d_main_c_filename,GL/IG2D_Main.c
0x08015714,get_anim_ctrl_seq_id_assert_psequence,pSequence
0x08015914,apply_bg_affine_by_angle_scale_ig2d_main_c_filename,GL/IG2D_Main.c
0x08015918,apply_bg_affine_by_angle_scale_assert_bg_2_bg_3,bg == 2 || bg == 3
0x08015940,resolve_bg_affine_param_offset_ig2d_main_c_filename,GL/IG2D_Main.c
0x08015a78,setup_isd_cell_anim_oam_entry_ig2d_main_c_filename,GL/IG2D_Main.c
0x08015a7c,setup_isd_cell_anim_oam_entry_assert_pcell_null,( pCell ) != NULL
0x08015af4,alloc_cell_anim_slot_ig2d_main_c_filename,GL/IG2D_Main.c
0x08015afc,alloc_cell_anim_slot_assert_usedcellanm_nelems_cellanmbank,UsedCellAnm < NELEMS(CellAnmBank)
0x08015b58,load_nce_cell_bank_from_file_ig2d_main_c_filename,GL/IG2D_Main.c
0x08015b5c,load_nce_cell_bank_from_file_assert_ppcellbank_null,( ppCellBank ) != NULL
0x08015b64,load_nce_cell_bank_from_file_assert_pfname_null,( pFname ) != NULL
0x08015bb8,load_nanr_anim_bank_from_file_ig2d_main_c_filename,GL/IG2D_Main.c
0x08015bc0,load_nanr_anim_bank_from_file_assert_ppanimbank_null,( ppAnimBank ) != NULL
0x08015bc4,load_nanr_anim_bank_from_file_assert_pfname_null,( pFname ) != NULL
0x08015c14,load_ncgr_char_data_from_file_ig2d_main_c_filename,GL/IG2D_Main.c
